date,Dengue,Zika,Chikungunya,Varicela
2015-11-16,291692.78125,4740.560546875,63531.4609375,762515.6875
2015-11-23,292590.375,5144.99609375,63674.8359375,765029.6875
2015-11-30,293533.375,5619.9775390625,63834.80078125,767364.8125
2015-12-07,294526.5625,6154.96142578125,64004.30859375,769460.1875
2015-12-14,295532.34375,6828.17822265625,64190.22265625,771338.0625
2015-12-21,296551.59375,7518.71630859375,64370.75,773003.6875
2016-01-04,297614.21875,8213.09765625,64578.1484375,774506.625
2016-01-11,298902.8125,9427.388671875,64949.04296875,775989.1875
2016-01-18,300404.75,11109.1953125,65436.7734375,777480.375
2016-01-25,302019.0625,13382.1142578125,65954.3125,779006.1875
2016-02-01,303652.21875,16387.52734375,66427.328125,780538.9375
2016-02-08,305315.6875,19910.357421875,66870.9375,782120.4375
2016-02-15,306980.6875,23513.166015625,67301.15625,783722.625
2016-02-22,308566.625,26964.28125,67704.7890625,785384.9375
2016-02-29,310068.6875,30070.013671875,68095.3203125,787131.875
2016-03-07,311583.78125,32910.66015625,68489.359375,789009.25
2016-03-14,313021.8125,35542.765625,68860.2734375,791010.625
2016-03-21,314334.40625,37884.3828125,69188.25,793036.0625
2016-03-28,315605.3125,39931.91796875,69489.546875,795117.25
2016-04-04,317011.0,42214.5234375,69848.109375,797335.125
2016-04-11,318359.78125,44611.625,70225.59375,799592.8125
2016-04-18,319750.5625,47077.4140625,70611.0625,802027.4375
2016-04-25,321100.03125,49551.46484375,70993.8125,804510.25
2016-05-02,322434.78125,51946.23828125,71381.03125,807049.6875
2016-05-09,323718.0,54162.1875,71770.234375,809607.0
2016-05-16,325006.71875,56290.17578125,72143.9453125,812161.9375
2016-05-23,326307.6875,58412.91796875,72523.9140625,814758.0625
2016-05-30,327574.84375,60404.9296875,72877.0546875,817332.9375
2016-06-06,328775.78125,62214.59765625,73209.9765625,819857.6875
2016-06-13,329932.0,63870.546875,73501.6015625,822259.1875
2016-06-20,331030.65625,65314.03125,73771.4609375,824534.5625
2016-06-27,332058.875,66578.9921875,74005.671875,826666.5
2016-07-04,333025.28125,67600.9921875,74208.078125,828707.6875
2016-07-11,333991.375,68474.96875,74391.5234375,830727.5625
2016-07-18,334923.875,69204.484375,74552.828125,832752.1875
2016-07-25,335782.1875,69800.6171875,74694.1328125,834777.125
2016-08-01,336600.21875,70308.8046875,74808.6328125,836815.5
2016-08-08,337373.0625,70730.515625,74920.90625,838952.8125
2016-08-15,338094.4375,71070.0,75017.59375,841117.625
