SEMANA,ANO,country,state,city,count,idx_city,Latitude,Longitude,date,week
2,2007,colombia,santander,floridablanca,3,COLOMBIA_SANTANDER_FLORIDABLANCA,7.0625358,-73.0858228,2007-01-14,14-01-2007
2,2007,colombia,santander,giron,4,COLOMBIA_SANTANDER_GIRON,7.0732333,-73.1689196,2007-01-14,14-01-2007
2,2007,colombia,santander,hato,1,COLOMBIA_SANTANDER_HATO,6.5621066,-73.36473811438437,2007-01-14,14-01-2007
2,2007,colombia,santander,piedecuesta,4,COLOMBIA_SANTANDER_PIEDECUESTA,6.9874808,-73.0504129,2007-01-14,14-01-2007
2,2007,colombia,santander,sabana de torres,1,COLOMBIA_SANTANDER_SABANA DE TORRES,7.3939416,-73.4998859,2007-01-14,14-01-2007
2,2007,colombia,santander,san gil,1,COLOMBIA_SANTANDER_SAN GIL,6.5552856,-73.1312353,2007-01-14,14-01-2007
2,2007,colombia,santander,san vicente de chucuri,1,COLOMBIA_SANTANDER_SAN VICENTE DE CHUCURI,6.92877925,-73.52075434629629,2007-01-14,14-01-2007
2,2007,colombia,santander,velez,1,COLOMBIA_SANTANDER_VELEZ,6.1354127,-73.83420956395206,2007-01-14,14-01-2007
2,2007,colombia,sucre,san benito abad,1,COLOMBIA_SUCRE_SAN BENITO ABAD,8.9293556,-75.0269099,2007-01-14,14-01-2007
2,2007,colombia,sucre,san marcos,3,COLOMBIA_SUCRE_SAN MARCOS,8.6618609,-75.1307644,2007-01-14,14-01-2007
2,2007,colombia,sucre,sincelejo,7,COLOMBIA_SUCRE_SINCELEJO,9.2973386,-75.3926601,2007-01-14,14-01-2007
2,2007,colombia,tolima,armero guayabal,1,COLOMBIA_TOLIMA_ARMERO (GUAYABAL),5.01730855,-74.84840940630394,2007-01-14,14-01-2007
2,2007,colombia,tolima,ibague,4,COLOMBIA_TOLIMA_IBAGUE,4.4386033,-75.2108857,2007-01-14,14-01-2007
2,2007,colombia,valle,palmira,3,COLOMBIA_VALLE_PALMIRA,3.5308373,-76.2988048,2007-01-14,14-01-2007
2,2007,colombia,valle,riofrio,3,COLOMBIA_VALLE_RIOFRIO,4.1071481,-76.38394225662913,2007-01-14,14-01-2007
2,2007,colombia,valle,roldanillo,2,COLOMBIA_VALLE_ROLDANILLO,4.4091166,-76.1543744,2007-01-14,14-01-2007
2,2007,colombia,valle,trujillo,1,COLOMBIA_VALLE_TRUJILLO,4.2123039,-76.3188928,2007-01-14,14-01-2007
2,2007,colombia,vichada,vichada municipio desconocido,1,COLOMBIA_VICHADA_* VICHADA. MUNICIPIO DESCONOCIDO,,,2007-01-14,14-01-2007
2,2007,colombia,vichada,puerto carreno,1,COLOMBIA_VICHADA_PUERTO CARREÑO,6.1909225,-67.4841891,2007-01-14,14-01-2007
3,2007,colombia,arauca,arauca,3,COLOMBIA_ARAUCA_ARAUCA,7.0851994,-70.7577762,2007-01-21,21-01-2007
3,2007,colombia,atlantico,atlantico municipio desconocido,2,COLOMBIA_ATLANTICO_* ATLANTICO. MUNICIPIO DESCONOCIDO,,,2007-01-21,21-01-2007
3,2007,colombia,atlantico,baranoa,2,COLOMBIA_ATLANTICO_BARANOA,10.7935815,-74.9152164,2007-01-21,21-01-2007
3,2007,colombia,atlantico,barranquilla,8,COLOMBIA_ATLANTICO_BARRANQUILLA,11.0101922,-74.8231794084391,2007-01-21,21-01-2007
3,2007,colombia,atlantico,malambo,4,COLOMBIA_ATLANTICO_MALAMBO,10.8653387,-74.7746194,2007-01-21,21-01-2007
3,2007,colombia,atlantico,puerto colombia,1,COLOMBIA_ATLANTICO_PUERTO COLOMBIA,10.9891292,-74.955414,2007-01-21,21-01-2007
3,2007,colombia,atlantico,soledad,3,COLOMBIA_ATLANTICO_SOLEDAD,10.9149593,-74.7821054,2007-01-21,21-01-2007
3,2007,colombia,bolivar,cartagena,4,COLOMBIA_BOLIVAR_CARTAGENA,10.4265566,-75.5441671,2007-01-21,21-01-2007
3,2007,colombia,bolivar,magangue,1,COLOMBIA_BOLIVAR_MAGANGUE,9.2412097,-74.7567413,2007-01-21,21-01-2007
3,2007,colombia,caldas,la dorada,1,COLOMBIA_CALDAS_LA DORADA,5.4457655,-74.6618458,2007-01-21,21-01-2007
3,2007,colombia,caqueta,la montanita,1,COLOMBIA_CAQUETA_LA MONTANITA,1.4817139,-75.4356404,2007-01-21,21-01-2007
3,2007,colombia,casanare,monterrey,1,COLOMBIA_CASANARE_MONTERREY,4.8762611,-72.8968843,2007-01-21,21-01-2007
3,2007,colombia,casanare,orocue,1,COLOMBIA_CASANARE_OROCUE,4.789484,-71.3406351,2007-01-21,21-01-2007
3,2007,colombia,casanare,paz de ariporo,2,COLOMBIA_CASANARE_PAZ DE ARIPORO,5.8815393,-71.892938,2007-01-21,21-01-2007
3,2007,colombia,casanare,san luis de palenque,1,COLOMBIA_CASANARE_SAN LUIS DE PALENQUE,5.422039,-71.7314386,2007-01-21,21-01-2007
3,2007,colombia,casanare,yopal,5,COLOMBIA_CASANARE_YOPAL,5.3356662,-72.3936931,2007-01-21,21-01-2007
