SEMANA,ANO,Casos,DATE
11,2021,190,2021-03-15
12,2021,175,2021-03-22
13,2021,163,2021-03-29
14,2021,240,2021-04-05
15,2021,176,2021-04-12
16,2021,190,2021-04-19
17,2021,157,2021-04-26
18,2021,157,2021-05-03
19,2021,150,2021-05-10
20,2021,159,2021-05-17
21,2021,175,2021-05-24
22,2021,158,2021-05-31
23,2021,121,2021-06-07
24,2021,184,2021-06-14
25,2021,179,2021-06-21
26,2021,182,2021-06-28
27,2021,214,2021-07-05
28,2021,207,2021-07-12
29,2021,198,2021-07-19
30,2021,230,2021-07-26
31,2021,269,2021-08-02
32,2021,315,2021-08-09
33,2021,309,2021-08-16
34,2021,366,2021-08-23
35,2021,379,2021-08-30
36,2021,434,2021-09-06
37,2021,450,2021-09-13
38,2021,459,2021-09-20
39,2021,465,2021-09-27
40,2021,466,2021-10-04
41,2021,544,2021-10-11
42,2021,507,2021-10-18
43,2021,508,2021-10-25
44,2021,454,2021-11-01
45,2021,499,2021-11-08
46,2021,449,2021-11-15
47,2021,405,2021-11-22
48,2021,395,2021-11-29
49,2021,395,2021-12-06
50,2021,354,2021-12-13
51,2021,307,2021-12-20
52,2021,298,2021-12-27
1,2022,281,2022-01-03
2,2022,271,2022-01-10
3,2022,244,2022-01-17
4,2022,230,2022-01-24
5,2022,330,2022-01-31
6,2022,338,2022-02-07
7,2022,423,2022-02-14
8,2022,478,2022-02-21
9,2022,583,2022-02-28
10,2022,610,2022-03-07
11,2022,619,2022-03-14
12,2022,632,2022-03-21
13,2022,605,2022-03-28
14,2022,522,2022-04-04
15,2022,447,2022-04-11
16,2022,505,2022-04-18
17,2022,451,2022-04-25
18,2022,516,2022-05-02
19,2022,460,2022-05-09
20,2022,515,2022-05-16
21,2022,510,2022-05-23
22,2022,488,2022-05-30
23,2022,402,2022-06-06
24,2022,356,2022-06-13
25,2022,319,2022-06-20
26,2022,329,2022-06-27
27,2022,345,2022-07-04
28,2022,361,2022-07-11
29,2022,377,2022-07-18
30,2022,482,2022-07-25
31,2022,454,2022-08-01
32,2022,476,2022-08-08
